Location,Tray,Cross_ID,Awn_dif,Thresh_dif_chance,Entry,Infert_1,SpS_1,Infert_2,SpS_2,Infert_3,SpS_3,Infert_4,SpS_4,Infert_5,SpS_5,Infert_6,SpS_6,Notes
K22,2.1.2,UX1992,,1,135,1,18,0,18,1,17,1,21,0,20,,,
K22,2.1.3,UX1992,,1,166,2,15,3,16,3,15,2,17,1,20,,,
K22,2.1.4,UX1992,,1,327,1,20,0,15,4,16,2,17,,,,,
K22,2.2.1,UX1992,,1,302,1,18,1,19,1,18,1,20,2,19,,,
K22,2.2.2,UX1992,,1,203,1,20,1,19,1,19,1,19,2,19,,,
K22,2.2.3,UX1992,,1,310,1,15,2,17,1,16,2,17,2,16,,,
K22,2.2.4,UX1992,,1,287,2,20,0,24,1,19,1,19,2,20,,,
K22,2.3.1,UX1992,,1,201,1,16,3,16,2,17,1,18,2,16,,,
K22,2.3.2,UX1992,,1,239,1,17,1,18,2,20,1,18,1,18,,,
K22,2.3.3,UX1992,,1,59,2,19,1,19,1,20,0,21,2,20,,,
K22,2.3.4,Parent,,1,LA09264C-P2,0,16,2,17,2,14,2,15,1,18,,,
K22,2.4.1,Parent,,1,GA06493-13LE6,1,20,1,22,1,21,2,19,1,21,,,
K22,2.4.2,UX1992,,1,196,0,18,3,17,2,18,1,19,1,18,,,
K22,2.4.3,UX1992,,1,317,3,17,0,17,1,17,1,15,1,20,,,
K22,2.4.4,UX1992,,1,80,1,20,3,19,1,22,2,21,2,20,,,
K22,2.5.1,UX1992,,1,232,1,21,0,22,1,21,1,21,2,21,,,
K22,2.5.2,UX1992,,1,289,0,21,1,21,0,21,1,20,1,19,,,
K22,2.5.3,Parent,,1,Hilliard,1,19,3,16,2,16,1,19,1,20,,,
K22,2.5.4,UX1992,,1,293,1,18,1,16,1,20,0,19,1,20,,,
K22,2.6.1,UX1992,,1,195,0,19,3,16,0,22,2,19,1,21,,,
K22,2.6.2,Parent,,1,ARGA051160-14LE31,2,18,2,20,1,19,2,17,2,18,,,
K22,2.6.3,UX1992,,1,100,2,18,3,18,2,18,2,18,1,21,,,
K22,2.6.4,UX1992,,1,218,0,14,2,17,2,19,2,19,1,21,,,
K22,2.7.1,UX1992,,1,295,1,17,0,23,0,20,0,21,1,16,,,
K22,2.7.2,UX1992,,1,24,1,18,0,17,2,15,2,17,1,16,,,
K22,2.7.3,UX1992,,1,282,2,22,0,19,1,18,2,18,1,22,,,
K22,2.7.4,UX1992,,1,296,2,17,0,23,1,21,1,24,0,23,,,
K22,2.8.1,Parent,,1,GA05450-EL52,0,17,1,17,0,20,1,16,0,20,,,
K22,2.8.2,UX1992,,1,203,2,18,1,22,0,22,1,23,1,20,,,
K22,2.8.3,UX1992,,1,78,1,18,1,20,2,15,1,21,3,18,,,
K22,2.8.4,UX1992,,1,242,1,18,1,22,1,20,2,19,1,20,,,
K22,2.9.1,UX1992,,1,70,2,20,1,22,0,25,1,19,1,21,,,
K22,2.9.2,Parent,,1,TX12D4896,2,16,1,18,1,16,2,16,1,17,,,
K22,2.9.3,UX1992,,1,225,1,19,3,17,2,21,2,19,1,20,,,
K22,2.9.4,UX1992,,1,322,0,20,1,21,1,21,0,20,1,18,,,
K22,2.10.1,UX1992,,1,223,0,21,1,20,1,20,1,20,1,19,,,
K22,2.10.2,UX1992,,1,281,0,18,0,23,0,21,1,18,0,20,,,
K22,2.10.3,UX1992,,1,72,3,17,1,18,0,20,0,18,2,18,,,
K22,2.10.4,UX1992,,1,308,1,21,1,17,1,22,2,20,0,23,,,
K22,2.11.1,UX1992,,1,182,0,19,1,20,1,21,2,19,1,21,,,
K22,2.11.2,UX1992,,1,314,2,18,0,21,0,19,0,18,0,19,,,
K22,2.11.3,UX1992,,1,38,1,18,1,16,0,17,0,17,0,19,,,
K22,2.11.4,UX1992,,1,9,1,15,1,17,0,15,1,14,0,18,,,
K22,2.12.1,UX1992,,1,6,2,19,0,19,1,17,0,20,2,20,,,
K22,2.12.2,Parent,,1,GA001138-8E36,1,18,1,19,1,18,2,16,2,16,,,
K22,2.12.3,UX1992,,1,323,2,19,3,17,0,22,0,24,0,21,,,
